Date,Rank,Category,Title,Author,Week on List,Description
2021-05-16,3,Paperback Trade Fiction,Later,Stephen King,9,An N.Y.P.D. detective asks the son of a struggling single mother to use his unnatural ability to track a killer.
2021-05-16,4,Paperback Trade Fiction,The Rose Code,Kate Quinn,8,"As a post-World War II royal wedding approaches, an encrypted letter resurrects an alliance between three female code breakers."
2021-05-16,5,Paperback Trade Fiction,The Seven Husbands Of Evelyn Hugo,Taylor Jenkins Reid,8,A movie icon recounts stories of her loves and career to a struggling magazine writer.
2021-05-16,1,Paperback Nonfiction,The Body Keeps The Score,Bessel van der Kolk,132,"How trauma affects the body and mind, and innovative treatments for recovery."
2021-05-16,2,Paperback Nonfiction,Nomadland,Jessica Bruder,11,"A look at an expanding low-cost labor pool, which largely consists of transient older adults, and what this might portend."
2021-05-16,3,Paperback Nonfiction,Braiding Sweetgrass,Robin Wall Kimmerer,55,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.
2021-05-16,4,Paperback Nonfiction,My Grandmother'S Hands,Resmaa Menakem,16,"A therapist who specializes in trauma, body-centered psychotherapy and violence prevention explains racism's effect on the body."
2021-05-16,5,Paperback Nonfiction,Becoming,Michelle Obama,9,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent."
2021-05-16,1,"Advice, How-To & Miscellaneous",World Travel,Anthony Bourdain and Laurie Woolever,2,
2021-05-16,2,"Advice, How-To & Miscellaneous","The Boy, The Mole, The Fox And The Horse",Charlie Mackesy,74,
2021-05-16,3,"Advice, How-To & Miscellaneous",The Women Of The Bible Speak,Shannon Bream,5,
2021-05-16,4,"Advice, How-To & Miscellaneous",Atomic Habits,James Clear,75,
2021-05-16,5,"Advice, How-To & Miscellaneous",Cook This Book,Molly Baz,2,
2021-05-16,1,Children’s Middle Grade Hardcover,Wonder,R.J. Palacio,294,A boy with a facial deformity starts school.
2021-05-16,2,Children’s Middle Grade Hardcover,The One And Only Bob,Katherine Applegate. Illustrated by Patricia Castelao,52,"In this sequel to ""The One and Only Ivan,"" Bob sets out on a dangerous journey in search of his long-lost sister."
2021-05-16,3,Children’s Middle Grade Hardcover,The Ickabog,J.K. Rowling,25,A fearsome monster threatens the kingdom of Cornucopia.
2021-05-16,4,Children’s Middle Grade Hardcover,Refugee,Alan Gratz,128,Three children in three different conflicts look for safe haven.
2021-05-16,5,Children’s Middle Grade Hardcover,When You Trap A Tiger,Tae Keller,7,Lily makes a deal with a magical tiger to heal her ailing grandmother.
2021-05-16,1,Children’s Picture Books,We Are Water Protectors,Carole Lindstrom. Illustrated by Michaela Goade,13,Standing up for environmental justice.
2021-05-16,2,Children’s Picture Books,Grumpy Monkey,Suzanne Lang. Illustrated by Max Lang,45,Jim Panzee is having a bad day.
2021-05-16,3,Children’s Picture Books,I Wish You More,Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld,62,A bounty of good wishes.
2021-05-16,4,Children’s Picture Books,The Wonderful Things You Will Be,Emily Winfield Martin,260,A celebration of future possibilities.
2021-05-16,5,Children’s Picture Books,Because I Had A Teacher,Kobi Yamada. Illustrated by Natalie Russell,6,An ode to teachers.
2021-05-16,1,Children’s Series,Shadow And Bone Trilogy,Leigh Bardugo,8,"The basis of the Netflix series; previously titled ""The Grisha Trilogy."""
2021-05-16,2,Children’s Series,Diary Of A Wimpy Kid,Jeff Kinney,633,The travails and challenges of adolescence.
2021-05-16,3,Children’s Series,Awesome Friendly Kid,Jeff Kinney,7,Rowley Jefferson chronicles his life story and adventures.
2021-05-16,4,Children’s Series,Harry Potter,J.K. Rowling,632,A wizard hones his conjuring skills in the service of fighting evil.
2021-05-16,5,Children’s Series,Wings Of Fire,Tui T. Sutherland,112,Only the five dragonets of destiny can unite the seven warring dragon tribes.
2021-05-16,1,Young Adult Hardcover,Rule Of Wolves,Leigh Bardugo,5,The second book in the King of Scars duology.
2021-05-16,2,Young Adult Hardcover,Firekeeper'S Daughter,Angeline Boulley,7,Daunis investigates a deadly new drug being distributed in her tribal community.
2021-05-16,3,Young Adult Hardcover,Stamped,Jason Reynolds and Ibram X. Kendi,58,An exploration of racism and antiracism in America.
2021-05-16,4,Young Adult Hardcover,One Of Us Is Lying,Karen M. McManus,170,"For five students, a detour into detention ends in murder."
2021-05-16,5,Young Adult Hardcover,The Hate U Give,Angie Thomas,214,A 16-year-old girl sees a police officer kill her friend.
